Nom,Description,Prix,Référence,Main,Kilométrage,Catégorie,1ère Immat.,Puissance Fiscale,Moteur,Carburant,Consommation,Transmission,URL
Renault Megane,1.4L,"28,000 DT",4623,1 ere Main,139 000 Km,Citadine,Février 2011,7 CV,131 CV,Essence,5.1 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/274/RenaultMegane
Opel Mokka X,1.4L,"49,500 DT",4446,1 ere Main,139 000 Km,SUV,Mars 2018,8 CV,140 CV,Essence,5.1 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/273/OpelMokkax
Mazda 2,1.5 l,"37,500 DT",4541,1ere main,147 500 Km,Compact,Décembre 2015,6 cv,102 cv,Essence,5.7 L/100 km,Automatique,https://www.sparkauto.tn/listing-detail/270/Mazda22
Kia Rio,1.4,"29,500 DT",4525,1ere main,136 500 Km,Compact,Juin 2011,6 cv,95 cv,Essence,5.9 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/268/KiaRio
Peugeot 2008,1.2L,"45,000 DT",4450,1 ere Main,55 000 Km,SUV,Juillet 2020,6 CV,110 CV,Essence,4.8 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/264/Peugeot2008
Peugeot 301,1.2L,"22,000 DT",4147,1 ere Main,187 000 Km,Berline,Mai 2013,5 CV,72 CV,Essence,4.8 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/263/Peugeot301
Hyundai Creta,1.6L,"60,000 DT",4187,1 ere Main,137 000 Km,SUV,Septembre 2020,7 CV,130 CV,Essence,6.1 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/262/HyundaiCreta
Lada Niva 4x4,1.7,"29,000 DT",4080,1 ere Main,55 000 Km,SUV,Septembre 2018,7 CV,83 cv,Essence,9.1 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/258/LadaNiva4x4
Toyota Rav 4,2.5 l,"154,500 DT",4121,1ere main,28 000 Km,SUV,Juillet 2024,9 cv,222 ch,Hybride,5 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/253/ToyotaRav4hybride
Geely GX3,1.5 L CVT,"51,000 DT",3966,1 ere Main,65 000 Km,Break,Aout 2021,6 CV,103 CV,Essence,6.5 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/247/GeelyGX3
Opel Mokka,1.2 L Turbo,"79,000 DT",3832,1 ere Main,30 000 Km,SUV,Septembre 2022,7 CV,130 CV,Essence,4.8 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/246/OpelMokka
