Nom,Description,Prix,Référence,Main,Kilométrage,Catégorie,1ère Immat.,Puissance Fiscale,Moteur,Carburant,Consommation,Transmission,URL
MG ZS,1.6 l,"59,000 DT",3617,1ere main,85 000 Km,SUV,Avril 2019,Ariana,114 cv,Essence,7.8 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/245/MGZS
Peugeot 508,1.6 l,"41,500 DT",3584,2ème main,156 000 Km,Berline,Février 2018,9 cv,165 cv,Essence,5.8 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/240/Peugeot508
Opel corsa,1.2 l,"24,000 DT",3522,1ere main,139 500 Km,Compact,Juillet 2014,5 cv,85 cv,Essence,5.5 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/238/Opelcorsa
Hyundai Grand i10,1.2L,"39,500 DT",42,1 ere Main,61 000 Km,Compact,Juin 2021,5 CV,84 CV,Essence,4.9 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/236/HyundaiGrandi10
Citroen C3,1.2L,"34,000 DT",3396,1 ere Main,70 000 Km,,Juin 2017,4 CV,82 CV,Essence,4.3 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/235/CitroenC3
Hyundai Grand i10,1.2,"39,500 DT",3524,1ere main,63 000 Km,Compact,Juin 2021,5 cv,84 cv,Essence,4.9 L/100 KM,Manuelle,https://www.sparkauto.tn/listing-detail/234/HyundaiGrandi10
Dacia Dokker,1.5 l,"33,500 DT",3382,1ere main,164 000 Km,Fourgon,Mai 2021,6 cv,95 cv,Diesel,4.3 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/233/DaciaDokker
Ford EcoSport,1.0 lEcoBoost,"69,500 DT",3390,1ere main,16 700 Km,SUV,Octobre 2022,7 cv,125 cv,Essence,4.8 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/230/FordEcoSport
Kia Seltos,1.4L,"88,000 DT",3350,1 ere Main,87 000 Km,SUV,Octobre 2022,8 CV,140 CV,Essence,6.1 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/228/KiaSeltos
Hyundai Tucson 2025,All Wheel Drive,"168,000 DT",3182,1ere main,7 600 Km,SUV,Decembre 2024,9 cv,215 cv,Micro-hybride,5.7 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/226/HyundaiTucson
Ford EcoSport,1.0L,"69,000 DT",3288,1 ere Main,37 000 Km,SUV,Mars 2022,7 CV,125 CV,Essence,4.8 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/225/FordEcoSport
Nissan QASHQAI,1.2L,"52,000 DT",3282,1 ere Main,73 000 Km,SUV,Aout 2017,6 CV,115 CV,Essence,5.8 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/224/NissanQASHQAI
Mercedes Classe C 220,2.2L,"47,500 DT",41,1 ere Main,180 000 Km,Berline,Aout 2009,10 CV,170 CV,Diesel,6.1 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/223/MercedesClasseC220
Fiat Tipo,1.4L,"47,000 DT",2672,1 ere Main,100 000 Km,Compact,Mai 2021,5 CV,95 CV,Essence,6.0 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/221/Fiattipo
Chery Tiggo 3X,1.0L,"57,000 DT",3115,1 ere Main,13 000 Km,SUV,Decembre 2023,6 CV,102 CV,Essence,5.9L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/217/CheryTiggo3X
Volkswagen Polo Sedan,1.4,"35,500 DT",3158,1ere main,81 000 Km,Citadine,Aout 2013,5 cv,85 cv,Essence,5.8 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/216/VolkswagenPoloSedan
Peugeot 2008,1.2L,"40,000 DT",3135,1 ere Main,153 000 Km,Break,Novembre 2017,5 CV,100 CV,Essence,4.4 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/212/Peugeot2008
Citroen C3,1.2L,"35,500 DT",3024,1 ere Main,81 000 Km,Citadine,Septembre 2019,4 CV,75 CV,Essence,4.3 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/210/CitroenC3
Audi A4 35 TFSI,2.0 l,"116,000 DT",3053,1ere main,46 400 Km,Berline,Novembre 2021,8 cv,150 cv,Essence,7.7 L/100 KM,Manuelle,https://www.sparkauto.tn/listing-detail/208/AudiA435TFSI
