URL,Modèle,Description,Prix,Kilométrage,Mise en circulation,Énergie,Boîte de vitesse,Puissance fiscale,Transmission,Carrosserie,État général,Anciens propriétaires,Date annonce
https://www.automobile.tn/fr/occasion/peugeot/partner/118587,Peugeot Partner,L1 1.5 BlueHDi 16V FAP 100 cv,47 500 DT,150 000 KM,05.2021,Diesel,Manuelle,5 CV,Traction,Utilitaire,Très bon,1ère main,30.11.2025
https://www.automobile.tn/fr/occasion/renault/megane-sedan/107292,Renault Megane Sedan,GrandCoupe 1.2 TCe 16V 130 cv,53 000 DT,56 000 KM,07.2019,Essence,Manuelle,7 CV,Traction,Berline,Très bon,1ère main,30.11.2025
https://www.automobile.tn/fr/occasion/ford/ecosport/104655,Ford Ecosport Titanium,1.0 SCTi EcoBoost 12V S&S 125 cv,74 000 DT,25 000 KM,11.2022,Essence,Manuelle,7 CV,Traction,SUV,Très bon,1ère main,30.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-e/118290,Mercedes-Benz Classe E AMG,200 2.0 CGI 16V 7G-TRONIC+ 184 cv Boîte auto,123 000 DT,150 000 KM,02.2017,Essence,Automatique,10 CV,Propulsion,Berline,Très bon,1ère main,30.11.2025
https://www.automobile.tn/fr/occasion/volkswagen/golf-6/120090,Volkswagen Golf 6 Team,1.2 TSi 105 cv,39 900 DT,182 000 KM,04.2010,Essence,Manuelle,7 CV,Traction,Compacte,Très bon,1ère main,30.11.2025
https://www.automobile.tn/fr/occasion/kia/sportage/115237,KIA Sportage,2.0 CRDi 4x4 177 cv Boîte auto,44 000 DT,276 000 KM,06.2013,Diesel,Automatique,11 CV,Intégrale,SUV,Très bon,2ème main,30.11.2025
https://www.automobile.tn/fr/occasion/chery/tiggo-8-pro/117924,Chery Tiggo 8 Pro,1.6 T-GDI 7-DCT 197 cv Boîte auto,82 000 DT,102 000 KM,11.2022,Essence,Automatique,11 CV,Traction,SUV,Très bon,1ère main,30.11.2025
https://www.automobile.tn/fr/occasion/hyundai/i20/119582,Hyundai i20 High Grade,1.0 L T-GDI DCT-7 100 cv Boîte auto,77 500 DT,49 100 KM,05.2024,Essence,Automatique,5 CV,Traction,Citadine,Très bon,1ère main,30.11.2025
https://www.automobile.tn/fr/occasion/opel/campo/120902,Opel Campo 2001,N/A,45 000 DT,570 000 KM,06.1996,Diesel,Manuelle,10 CV,Traction,Pick up,Normal,1ère main,30.11.2025
https://www.automobile.tn/fr/occasion/mazda/cx-5/120901,Mazda CX-5 High Grade,Skyactiv-G 2.0 i 16V AWD S&S 160 cv Boîte auto,78 000 DT,210 000 KM,01.2018,Essence,Automatique,9 CV,Intégrale,SUV,Très bon,2ème main,30.11.2025
https://www.automobile.tn/fr/occasion/bmw/x2/119463,BMW X2 Pack M Sport X,18i sDrive 1.5 i 12V DCT7 140 cv Boîte auto,124 000 DT,79 000 KM,11.2019,Essence,Automatique,7 CV,Traction,SUV,Très bon,1ère main,30.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c/117969,Mercedes-Benz Classe C AMG,180 1.5 i 16V EQ Boost 9G-TRONIC 170 cv Boîte auto,170 000 DT,38 000 KM,07.2021,Hybride léger essence,Automatique,9 CV,Propulsion,Berline,Très bon,1ère main,30.11.2025
