URL,Modèle,Description,Prix,Kilométrage,Mise en circulation,Énergie,Boîte de vitesse,Puissance fiscale,Transmission,Carrosserie,État général,Anciens propriétaires,Date annonce
https://www.automobile.tn/fr/occasion/peugeot/208/120160,Peugeot 208 Style,Affaire 1.2 PureTech 12V S&S 75 cv,37 500 DT,69 000 KM,07.2022,Essence,Manuelle,5 CV,Traction,Citadine,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/seat/ibiza/120311,Seat Ibiza Populaire,1.0 i 12V 75 cv,42 500 DT,100 000 KM,11.2019,Essence,Manuelle,4 CV,Traction,Citadine,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/120450,Mercedes-Benz Classe A AMG,180 1.3 Ti 16V 7G-DCT 136 cv Boîte auto,102 000 DT,110 000 KM,06.2019,Essence,Automatique,7 CV,Traction,Compacte,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/land-rover/range-rover-evoque/118688,Land Rover Range Rover Evoque Dynamic SE +,P300e 1.5 Si4 12V 309 PHEV AWD BVA8 200 cv Boîte auto,159 000 DT,110 000 KM,09.2021,Hybride rechargeable essence,Automatique,11 CV,Intégrale,SUV,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/cla/119568,Mercedes-Benz CLA AMG,180 1.3 i 16V GPF 7G-DCT 136 cv Boîte auto,127 000 DT,85 000 KM,07.2021,Essence,Automatique,7 CV,Traction,Berline,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/cla/119567,Mercedes-Benz CLA AMG,250 e 1.3 i 16V GPF 218 PHEV 160 cv Boîte auto,140 000 DT,69 000 KM,01.2021,Hybride rechargeable essence,Automatique,8 CV,Traction,Berline,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/bmw/serie-4-gran-coupe/118015,BMW Série 4 Gran Coupé Luxury Line,418i 1.5 i 12V Steptronic8 136 cv Boîte auto,105 000 DT,79 000 KM,11.2019,Essence,Automatique,7 CV,Propulsion,Berline,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/bmw/serie-4-gran-coupe/79830,BMW Série 4 Gran Coupé Pack M Sport,N/A,117 000 DT,90 000 KM,06.2019,Essence,Automatique,7 CV,Traction,Berline,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/land-rover/range-rover-evoque/106073,Land Rover Range Rover Evoque R-Dynamic,2.0 TD4 16V DPF 4WD BVA9 180 cv Boîte auto,102 000 DT,160 000 KM,11.2016,Diesel,Automatique,10 CV,Propulsion,SUV,Très bon,2ème main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c/116476,Mercedes-Benz Classe C AMG,180 1.5 i 16V 9G-TRONIC 156 cv Boîte auto,142 200 DT,147 000 KM,08.2019,Essence,Automatique,8 CV,Propulsion,Berline,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/110919,Mercedes-Benz Classe A AMG,200 1.3 Ti 16V EQ Boost 7G-DCT 163 cv Boîte auto,169 000 DT,15 000 KM,06.2023,Hybride léger essence,Automatique,8 CV,Traction,Compacte,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-s/103089,Mercedes-Benz Classe S Executive,350 3.5 i V6 24V 7G-TRONIC 306 cv Boîte auto,102 000 DT,165 000 KM,04.2010,Essence,Automatique,18 CV,Traction,Berline,Très bon,2ème main,29.11.2025
