Prix,Marque,Modele,Age,Kilometrage,Energie,Boite_Vitesses,Puissance_Fiscale,Source
6500.0,PEUGEOT,205,26.0,321000.0,Essence,Manuelle,4.0,Baniola
80000.0,PEUGEOT,Autres,3.0,160.0,Diesel,Manuelle,6.0,Baniola
28000.0,PEUGEOT,208,9.0,150000.0,Essence,Manuelle,5.0,Baniola
20000.0,PEUGEOT,407,20.0,277.0,Essence,Manuelle,9.0,Baniola
110000.0,PEUGEOT,5008,7.0,110000.0,Diesel,Manuelle,7.0,Baniola
26000.0,PEUGEOT,208,12.0,100000.0,Essence,Manuelle,5.0,Baniola
50000.0,PEUGEOT,3008,9.0,231000.0,Essence,Automatique,9.0,Baniola
14500.0,PEUGEOT,206,21.0,276000.0,Essence,Manuelle,4.0,Baniola
8000.0,PEUGEOT,Autres,8.0,321000.0,Diesel,Manuelle,5.0,Baniola
48000.0,PEUGEOT,508,12.0,220000.0,Diesel,Manuelle,7.0,Baniola
50500.0,PEUGEOT,308,6.0,144355.0,Diesel,Manuelle,6.0,Baniola
68000.0,PEUGEOT,Autres,7.0,190000.0,Diesel,Automatique,8.0,Baniola
18000.0,PEUGEOT,Partner,19.0,281000.0,Diesel,Manuelle,7.0,Baniola
28500.0,PEUGEOT,208,9.0,180000.0,Essence,Manuelle,5.0,Baniola
27000.0,PEUGEOT,308,15.0,235.0,Essence,Manuelle,6.0,Baniola
7000.0,PEUGEOT,309,34.0,300000.0,Essence,Manuelle,4.0,Baniola
11000.0,PEUGEOT,306,26.0,321000.0,Diesel,Manuelle,6.0,Baniola
39000.0,PEUGEOT,208,7.0,71000.0,Essence,Manuelle,5.0,Baniola
7000.0,PEUGEOT,205,30.0,3000.0,Diesel,Manuelle,5.0,Baniola
19500.0,PEUGEOT,Partner,11.0,1000.0,Essence,Manuelle,6.0,Baniola
6500.0,PEUGEOT,208,9.0,150.0,Essence,Manuelle,5.0,Baniola
19500.0,PEUGEOT,206,14.0,217000.0,Essence,Manuelle,6.0,Baniola
68500.0,PEUGEOT,3008,6.0,104841.0,Essence,Automatique,9.0,Baniola
17000.0,PEUGEOT,206,15.0,250000.0,Essence,Manuelle,5.0,Baniola
45000.0,PEUGEOT,Partner,8.0,244000.0,Diesel,Manuelle,5.0,Baniola
69500.0,PEUGEOT,3008,8.0,248000.0,Diesel,Automatique,8.0,Baniola
62000.0,PEUGEOT,3008,6.0,190000.0,Essence,Automatique,7.0,Baniola
19500.0,PEUGEOT,2008,17.0,250000.0,Essence,Manuelle,6.0,Baniola
34000.0,PEUGEOT,508,12.0,170000.0,Essence,Automatique,7.0,Baniola
15000.0,PEUGEOT,Partner,23.0,400.0,Diesel,Manuelle,7.0,Baniola
269159.9999999999,PEUGEOT,208,9.0,61000.0,Essence,Manuelle,5.0,Baniola
20000.0,PEUGEOT,206,17.0,1111.0,Essence,Manuelle,6.0,Baniola
55000.0,PEUGEOT,Autres,4.0,164000.0,Diesel,Manuelle,6.0,Baniola
40000.0,PEUGEOT,Autres,4.0,200000.0,Diesel,Manuelle,5.0,Baniola
72000.0,PEUGEOT,Autres,4.0,100000.0,Diesel,Manuelle,6.0,Baniola
35000.0,PEUGEOT,208,7.0,43000.0,Essence,Manuelle,5.0,Baniola
6500.0,PEUGEOT,Partner,5.0,63000.0,Diesel,Manuelle,6.0,Baniola
23500.0,PEUGEOT,308,14.0,380.0,Essence,Manuelle,6.0,Baniola
12000.0,PEUGEOT,206,24.0,300000.0,Diesel,Manuelle,5.0,Baniola
62000.0,PEUGEOT,Expert,5.0,190000.0,Diesel,Manuelle,6.0,Baniola
35000.0,PEUGEOT,Partner,12.0,290000.0,Diesel,Manuelle,5.0,Baniola
24500.0,PEUGEOT,107,13.0,169000.0,Essence,Manuelle,4.0,Baniola
17800.0,PEUGEOT,206,25.0,0.0,Essence,Manuelle,5.0,Baniola
23800.0,PEUGEOT,407,15.0,310000.0,Diesel,Manuelle,6.0,Baniola
27000.0,PEUGEOT,208,12.0,132000.0,Essence,Manuelle,5.0,Baniola
27000.0,PEUGEOT,207,13.0,170000.0,Essence,Manuelle,5.0,Baniola
80000.0,PEUGEOT,3008,5.0,156000.0,Diesel,Manuelle,7.0,Baniola
11500.0,PEUGEOT,106,30.0,320.0,Essence,Manuelle,4.0,Baniola
32300.0,PEUGEOT,508,12.0,170000.0,Essence,Automatique,7.0,Baniola
80000.0,PEUGEOT,3008,4.0,141000.0,Diesel,Manuelle,7.0,Baniola
25000.0,PEUGEOT,Tepee,8.0,134.0,Diesel,Manuelle,5.0,Baniola
38000.0,PEUGEOT,Partner,5.0,197000.0,Diesel,Manuelle,5.0,Baniola
24300.0,PEUGEOT,206,14.0,201582.0,Essence,Manuelle,4.0,Baniola
16500.0,PEUGEOT,Partner,25.0,321000.0,Essence,Manuelle,5.0,Baniola
15500.0,PEUGEOT,Partner,0.0,0.0,Essence,Manuelle,6.0,Baniola
21000.0,PEUGEOT,207,17.0,230.0,Essence,Manuelle,6.0,Baniola
32000.0,PEUGEOT,508,10.0,236000.0,Essence,Automatique,9.0,Baniola
47000.0,PEUGEOT,308,8.0,164000.0,Diesel,Manuelle,5.0,Baniola
36500.0,PEUGEOT,308,8.0,144000.0,Essence,Manuelle,5.0,Baniola
45900.0,PEUGEOT,Partner,4.0,101000.0,Diesel,Manuelle,5.0,Baniola
21000.0,PEUGEOT,207,18.0,190000.0,Essence,Manuelle,6.0,Baniola
53000.0,PEUGEOT,Autres,4.0,115000.0,Diesel,Manuelle,6.0,Baniola
16000.0,PEUGEOT,Partner,16.0,321000.0,Diesel,Manuelle,6.0,Baniola
42000.0,PEUGEOT,Autres,2.0,60000.0,Diesel,Manuelle,9.0,Baniola
23000.0,PEUGEOT,208,6.0,198000.0,Essence,Manuelle,5.0,Baniola
30000.0,PEUGEOT,Autres,7.0,105.0,Essence,Manuelle,5.0,Baniola
76000.0,PEUGEOT,3008,5.0,104000.0,Essence,Automatique,9.0,Baniola
9000.0,PEUGEOT,106,18.0,0.0,Essence,Manuelle,5.0,Baniola
38000.0,PEUGEOT,3008,13.0,157000.0,Essence,Manuelle,7.0,Baniola
78000.0,PEUGEOT,3008,6.0,185000.0,Essence,Automatique,9.0,Baniola
23500.0,PEUGEOT,Expert,17.0,360.0,Diesel,Manuelle,5.0,Baniola
56000.0,PEUGEOT,308,6.0,150000.0,Diesel,Manuelle,5.0,Baniola
30000.0,PEUGEOT,207,14.0,110000.0,Essence,Manuelle,6.0,Baniola
38000.0,PEUGEOT,2008,8.0,168.0,Essence,Manuelle,5.0,Baniola
27000.0,PEUGEOT,208,10.0,170000.0,Essence,Manuelle,4.0,Baniola
21000.0,PEUGEOT,206,16.0,113000.0,Essence,Automatique,6.0,Baniola
38000.0,PEUGEOT,Partner,6.0,168000.0,Diesel,Manuelle,5.0,Baniola
23200.0,PEUGEOT,Autres,8.0,200.0,Essence,Manuelle,5.0,Baniola
25000.0,PEUGEOT,307,19.0,5000.0,Essence,Manuelle,6.0,Baniola
29800.0,PEUGEOT,Tepee,12.0,144000.0,Essence,Manuelle,5.0,Baniola
27000.0,PEUGEOT,Tepee,8.0,150.0,Diesel,Manuelle,6.0,Baniola
26000.0,PEUGEOT,Autres,9.0,179000.0,Essence,Manuelle,5.0,Baniola
33600.0,PEUGEOT,208,5.0,98500.0,Essence,Manuelle,4.0,Baniola
75000.0,PEUGEOT,2008,4.0,79800.0,Essence,Automatique,7.0,Baniola
39000.0,PEUGEOT,Tepee,9.0,210000.0,Essence,Manuelle,7.0,Baniola
43000.0,PEUGEOT,Partner,4.0,130000.0,Diesel,Manuelle,5.0,Baniola
18500.0,PEUGEOT,206,19.0,300.0,Essence,Manuelle,4.0,Baniola
28000.0,PEUGEOT,207,14.0,290.0,Diesel,Manuelle,5.0,Baniola
27800.0,PEUGEOT,208,10.0,156000.0,Essence,Manuelle,5.0,Baniola
67000.0,PEUGEOT,308,5.0,130000.0,Diesel,Manuelle,6.0,Baniola
25500.0,PEUGEOT,107,15.0,156000.0,Essence,Manuelle,4.0,Baniola
22500.0,PEUGEOT,206,14.0,178600.0,Essence,Manuelle,5.0,Baniola
29000.0,PEUGEOT,208,8.0,158000.0,Essence,Manuelle,4.0,Baniola
25000.0,PEUGEOT,208,7.0,180000.0,Essence,Manuelle,5.0,Baniola
36000.0,SUZUKI,Swift,6.0,151000.0,Essence,Manuelle,5.0,Baniola
32500.0,SUZUKI,S-Presso,2.0,46000.0,Essence,Manuelle,5.0,Baniola
38500.0,SUZUKI,Celerio,2.0,35400.0,Essence,Manuelle,4.0,Baniola
48000.0,SUZUKI,Autres,5.0,108000.0,Essence,Automatique,6.0,Baniola
39000.0,SUZUKI,Celerio,2.0,30000.0,Essence,Manuelle,4.0,Baniola
38500.0,SUZUKI,Swift,4.0,117000.0,Essence,Manuelle,5.0,Baniola
34000.0,SUZUKI,Swift,7.0,170000.0,Essence,Manuelle,4.0,Baniola
31500.0,SUZUKI,Swift,8.0,162.0,Essence,Manuelle,5.0,Baniola
49500.0,SUZUKI,Celerio,1.0,20000.0,Essence,Automatique,4.0,Baniola
33000.0,SUZUKI,Swift,6.0,178000.0,Essence,Manuelle,5.0,Baniola
29990.0,SUZUKI,Celerio,5.0,90.0,Essence,Manuelle,4.0,Baniola
35000.0,SUZUKI,Swift,3.0,112000.0,Essence,Manuelle,5.0,Baniola
30000.0,SUZUKI,Celerio,5.0,126.0,Essence,Manuelle,4.0,Baniola
37500.0,SUZUKI,Celerio,5.0,55000.0,Essence,Automatique,4.0,Baniola
27200.0,SUZUKI,Celerio,7.0,101000.0,Essence,Manuelle,4.0,Baniola
31500.0,SUZUKI,Autres,5.0,52000.0,Essence,Manuelle,4.0,Baniola
34000.0,SUZUKI,Autres,3.0,45000.0,Essence,Manuelle,4.0,Baniola
35000.0,SUZUKI,Swift,8.0,171000.0,Essence,Manuelle,5.0,Baniola
31500.0,SUZUKI,S-Presso,4.0,78000.0,Essence,Manuelle,4.0,Baniola
38000.0,SUZUKI,Celerio,2.0,24000.0,Essence,Manuelle,4.0,Baniola
52000.0,KIA,Rio,4.0,100000.0,Essence,Manuelle,5.0,Baniola
38000.0,KIA,Rio,8.0,153000.0,Essence,Manuelle,5.0,Baniola
39500.0,KIA,Rio,8.0,220000.0,Essence,Manuelle,5.0,Baniola
49500.0,KIA,Rio,3.0,81000.0,Essence,Manuelle,5.0,Baniola
41000.0,KIA,Rio,10.0,117000.0,Essence,Manuelle,5.0,Baniola
34500.0,KIA,Rio,12.0,135.0,Essence,Manuelle,5.0,Baniola
36000.0,KIA,Rio,11.0,256000.0,Essence,Manuelle,5.0,Baniola
37500.0,KIA,Rio,11.0,170.0,Essence,Manuelle,5.0,Baniola
53500.0,KIA,Rio,4.0,118000.0,Essence,Manuelle,5.0,Baniola
64000.0,KIA,Rio,4.0,34900.0,Essence,Manuelle,5.0,Baniola
22000.0,KIA,Rio,15.0,3000.0,Essence,Manuelle,6.0,Baniola
46000.0,KIA,Rio,6.0,150000.0,Essence,Manuelle,5.0,Baniola
38000.0,KIA,Rio,10.0,190000.0,Essence,Manuelle,5.0,Baniola
24000.0,KIA,Rio,14.0,230.0,Essence,Manuelle,6.0,Baniola
34000.0,KIA,Rio,13.0,190.0,Essence,Manuelle,5.0,Baniola
49500.0,KIA,Rio,5.0,50000.0,Essence,Manuelle,5.0,Baniola
38500.0,KIA,Rio,12.0,157.0,Essence,Manuelle,5.0,Baniola
63000.0,KIA,Rio,4.0,93000.0,Essence,Manuelle,5.0,Baniola
62000.0,KIA,Rio,3.0,71600.0,Essence,Manuelle,5.0,Baniola
18500.0,KIA,Rio,14.0,0.0,Diesel,Manuelle,6.0,Baniola
52500.0,KIA,Rio,6.0,70800.0,Essence,Manuelle,5.0,Baniola
35700.0,KIA,Rio,10.0,190000.0,Essence,Manuelle,4.0,Baniola
40000.0,KIA,Rio,8.0,165000.0,Essence,Manuelle,5.0,Baniola
58500.0,KIA,Rio,4.0,40000.0,Essence,Manuelle,4.0,Baniola
63000.0,KIA,Rio,3.0,67000.0,Essence,Manuelle,5.0,Baniola
57000.0,KIA,Rio,5.0,180000.0,Essence,Automatique,6.0,Baniola
55000.0,KIA,Rio,3.0,68000.0,Essence,Manuelle,5.0,Baniola
65000.0,KIA,Rio,2.0,6430.0,Essence,Manuelle,5.0,Baniola
58500.0,KIA,Rio,3.0,40000.0,Essence,Manuelle,5.0,Baniola
19500.0,KIA,Rio,15.0,321000.0,Essence,Manuelle,6.0,Baniola
40000.0,KIA,Rio,9.0,152000.0,Essence,Manuelle,5.0,Baniola
44500.0,KIA,Rio,5.0,194000.0,Essence,Automatique,6.0,Baniola
45500.0,KIA,Rio,5.0,204000.0,Essence,Manuelle,6.0,Baniola
40500.0,KIA,Rio,10.0,175000.0,Essence,Automatique,5.0,Baniola
60500.0,KIA,Rio,4.0,72000.0,Essence,Manuelle,5.0,Baniola
64000.0,KIA,Rio,3.0,75000.0,Essence,Manuelle,5.0,Baniola
34500.0,KIA,Rio,9.0,163000.0,Essence,Automatique,6.0,Baniola
