Prix,Marque,Modele,Annee,Age,Kilometrage,Energie,Boite_Vitesses,Puissance_Fiscale
84000.0,MG,"MG S5
64 KWH Version unique",2025,0,0,Electrique,Automatique,4.0
84950.0,HYUNDAI,HYUNDAI BAYON 1.2 L Top Grade,2025,0,0,Essence,Manuelle,4.0
85000.0,FIAT,"FIAT DUCATO
2.2 HDI 11.5 M3 L2H2 Version unique",2025,0,0,Diesel,Manuelle,7.0
85000.0,HONDA,"HONDA JAZZ
1.5 L E-HEV Version unique",2025,0,0,Hybride,Automatique,5.0
86000.0,FIAT,"FIAT SCUDO FOURGON
2.0 L HDI Version unique",2025,0,0,Diesel,Manuelle,8.0
87000.0,GWM,"GWM WINGLE 5 DOUBLE CABINE
2.0 L DIESEL 4X2 Version unique",2025,0,0,Diesel,Manuelle,7.0
88000.0,SSANGYONG,"SSANGYONG TIVOLI
1.5 T ILOVIT BVA Version unique",2025,0,0,Essence,Automatique,8.0
88000.0,CENNTRO,"CENNTRO LOGISTAR 260
43.5 KWH Version unique",2025,0,0,Electrique,Automatique,3.0
88000.0,CITROËN,"CITROËN JUMPY FOURGON
2.0 L HDI Version unique",2025,0,0,Diesel,Manuelle,8.0
88000.0,RENAULT,"RENAULT EXPRESS COMBI
1.5 L DCI Version unique",2025,0,0,Diesel,Manuelle,5.0
88000.0,PEUGEOT,"PEUGEOT EXPERT
2.0 L HDI Version unique",2025,0,0,Diesel,Manuelle,9.0
89480.0,KIA,KIA SONET 1.5 L EX BVM,2025,0,0,Essence,Manuelle,6.0
89700.0,WALLYSCAR,WALLYSCAR ANNIBAL 2.5 l Diesel 4x2,2025,0,0,Diesel,Manuelle,6.0
89000.0,VOLKSWAGEN,"VOLKSWAGEN POLO
1.0 L TSI DRIVE Version unique",2025,0,0,Essence,Manuelle,5.0
90000.0,HYUNDAI,"HYUNDAI VENUE
1.0 L TURBO BVA Version unique",2025,0,0,Essence,Automatique,7.0
90000.0,DONGFENG,"DONGFENG SHINE MAX HYBRIDE
1.5 T HEV E-CVT Version unique",2025,0,0,Hybride,Automatique,9.0
91000.0,OPEL,"OPEL MOKKA
1.2 L TURBO 130 CH AT8 GS SPECIAL EDITION Version unique",2025,0,0,Essence,Automatique,7.0
92990.0,PEUGEOT,PEUGEOT LANDTREK DOUBLE CABINE 1.9 L Diesel 4x2,2025,0,0,Diesel,Manuelle,6.0
82900.0,JMC,JMC VIGUS DOUBLE CABINE 2.5 l Diesel 4x2,2025,0,0,Diesel,Manuelle,7.0
94900.0,OPEL,"OPEL ASTRA
1.2 L GS LIMITED Version unique",2025,0,0,Essence,Automatique,7.0
94950.0,RENAULT,"RENAULT MEGANE
1.3 L TCE 140 Version unique",2025,0,0,Essence,Manuelle,8.0
94970.0,FAW,"FAW BESTUNE B70
1.5 L TURBO LUXURY BVA Version unique",2025,0,0,Essence,Automatique,8.0
94990.0,BYD,"BYD DOLPHIN
44.9 KWH Version unique",2025,0,0,Electrique,Automatique,5.0
96500.0,CHERY,"CHERY TIGGO 7 PRO
1.5 T CVT Version unique",2025,0,0,Essence,Automatique,9.0
97900.0,CITROËN,CITROËN JUMPER 2.2 L HDI L2H2 11.5m3,2025,0,0,Diesel,Manuelle,7.0
97950.0,MG,"MG ZS HYBRID+
1.5 L CVT LUXURY Version unique",2025,0,0,Hybride,Automatique,5.0
90980.0,SEAT,SEAT ARONA 1.0 TSI Style,2025,0,0,Essence,Automatique,6.0
72800.0,GEELY,GEELY COOLRAY 1.5 L,2025,0,0,Essence,Manuelle,6.0
99900.0,PEUGEOT,"PEUGEOT 308
1.2 L PURETECH 130 CH ALLURE EAT8 Version unique",2025,0,0,Essence,Automatique,7.0
99900.0,OPEL,"OPEL GRANDLAND
1.6 L TURBO GS LINE BVA Version unique",2025,0,0,Essence,Automatique,9.0
99900.0,NISSAN,"NISSAN JUKE
1.0 L DIG-T DCT Version unique",2025,0,0,Essence,Automatique,6.0
97900.0,PEUGEOT,PEUGEOT BOXER 2.2 L HDI L2H2 11.5m3,2025,0,0,Diesel,Manuelle,7.0
99900.0,DFSK,"DFSK GLORY 580
1.5 T LUXURY CVT Version unique",2025,0,0,Essence,Automatique,8.0
99990.0,FAW,"FAW BESTUNE T90
1.5 L TURBO PREMIUM BVA Version unique",2025,0,0,Essence,Automatique,8.0
101650.0,RENAULT,RENAULT MEGANE SEDAN 1.3 L TCE 140,2025,0,0,Essence,Manuelle,8.0
101900.0,CITROËN,"CITROËN BERLINGO
1.6 L HDI Version unique",2025,0,0,Diesel,Manuelle,5.0
102900.0,GWM,"GWM HAVAL JOLION
1.5 T Version unique",2025,0,0,Essence,Automatique,9.0
93900.0,DONGFENG,DONGFENG RICH 6 2.5 Turbo Diesel 4X2 Thunder,2025,0,0,Diesel,Manuelle,8.0
